generated_at,alerts_total,dispatch_total,mean_response_steps,avg_drone_battery_pct,ranger_fuel,energy_per_threat,poachers_active,herds_active,coverage_rate
2025-11-17T16:55:26.631415Z,1,0,0.0,97.67,200.0,0.0,0,2,1.75
2025-11-17T16:55:36.634219Z,2,0,0.0,95.67,200.0,0.0,1,2,3.25
2025-11-17T16:55:46.640195Z,2,0,0.0,93.67,200.0,0.0,2,3,6.0
2025-11-17T16:55:56.645424Z,3,1,9.0,91.67,191.0,9.0,2,4,7.5
2025-11-17T16:56:06.650186Z,3,1,9.0,89.67,191.0,9.0,3,4,9.75
2025-11-17T16:56:16.653361Z,3,1,9.0,87.67,191.0,9.0,3,4,12.75
2025-11-17T16:56:26.655508Z,3,1,9.0,85.67,191.0,9.0,3,4,16.5
2025-11-17T16:56:36.662285Z,6,4,9.25,84.0,163.0,9.25,3,4,18.5
2025-11-17T16:56:46.665422Z,6,4,9.25,82.0,163.0,9.25,3,4,21.25
2025-11-17T16:56:56.670327Z,9,7,6.71,80.0,153.0,6.71,3,4,24.0
2025-11-17T16:57:06.674824Z,12,10,4.8,78.0,152.0,4.8,3,4,25.5
2025-11-17T16:57:16.680377Z,12,10,4.8,76.33,152.0,4.8,3,4,26.25
2025-11-17T16:57:26.686520Z,15,13,3.92,74.33,149.0,3.92,3,4,27.75
2025-11-17T16:57:36.690284Z,18,16,3.38,72.67,146.0,3.38,3,4,29.5
2025-11-17T16:57:46.697319Z,21,19,2.89,71.0,145.0,2.89,3,4,30.5
2025-11-17T16:57:56.702362Z,21,19,2.89,69.0,145.0,2.89,3,4,31.5
2025-11-17T16:58:06.708240Z,24,22,2.55,67.33,144.0,2.55,3,4,32.75
